Sensor No.,Temperature,Fault Type
4,-14,Drift Fault
8,47,No Fault
10,2,Drift Fault
9,51,No Fault
10,11,Soft Fault
7,5,Soft Fault
9,22,No Fault
3,16,Soft Fault
8,57,No Fault
1,28,No Fault
2,8,Soft Fault
2,53,No Fault
5,78,Spike and Bias Fault
5,-3,Drift Fault
7,24,No Fault
6,85,Spike and Bias Fault
8,25,No Fault
10,1,Drift Fault
2,44,No Fault
4,95,Hard Fault
4,16,Soft Fault
6,35,No Fault
8,17,Soft Fault
3,56,No Fault
4,1,Drift Fault
1,45,No Fault
8,31,No Fault
7,64,No Fault
7,2,Drift Fault
7,47,No Fault
8,7,Soft Fault
10,29,No Fault
6,17,Soft Fault
2,23,No Fault
4,6,Soft Fault
2,40,No Fault
1,20,No Fault
3,19,Soft Fault
7,29,No Fault
3,51,No Fault
10,22,No Fault
8,51,No Fault
7,7,Soft Fault
4,-9,Drift Fault
2,29,No Fault
3,82,Spike and Bias Fault
1,-8,Drift Fault
3,80,Spike and Bias Fault
10,89,Spike and Bias Fault
4,44,No Fault
1,0,Drift Fault
5,58,No Fault
10,-1,Drift Fault
8,36,No Fault
4,52,No Fault
1,9,Soft Fault
2,-7,Drift Fault
1,43,No Fault
3,60,No Fault
4,33,No Fault
10,12,Soft Fault
1,93,Hard Fault
3,25,No Fault
8,41,No Fault
7,-16,Drift Fault
10,39,No Fault
9,37,No Fault
1,52,No Fault
6,62,No Fault
5,41,No Fault
4,24,No Fault
6,61,No Fault
7,83,Spike and Bias Fault
8,12,Soft Fault
7,56,No Fault
10,26,No Fault
5,49,No Fault
3,96,Hard Fault
9,5,Soft Fault
7,84,Spike and Bias Fault
1,-6,Drift Fault
1,-13,Drift Fault
3,71,Spike and Bias Fault
8,41,No Fault
1,22,No Fault
7,78,Spike and Bias Fault
7,27,No Fault
1,37,No Fault
6,100,Hard Fault
4,26,No Fault
4,34,No Fault
2,2,Drift Fault
5,30,No Fault
7,0,Drift Fault
9,38,No Fault
6,17,Soft Fault
8,30,No Fault
2,37,No Fault
1,20,No Fault
10,32,No Fault
4,34,No Fault
1,50,No Fault
5,16,Soft Fault
2,62,No Fault
8,17,Soft Fault
9,15,Soft Fault
7,21,No Fault
10,4,Drift Fault
3,14,Soft Fault
9,95,Hard Fault
2,37,No Fault
1,51,No Fault
5,20,No Fault
8,22,No Fault
5,48,No Fault
2,92,Hard Fault
